tier,seed,disaster_family,role,metric,baseline,trained,delta,rationale_mode,schema_version
easy,42,active_threat,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,floor_agent,normalized_reward,-5.421186126349667,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,floor_agent,raw_reward,-22.35999999999999,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,floor_agent,save_rate,0.5373134328358209,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,orchestrator,normalized_reward,-5.861684648674837,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,orchestrator,raw_reward,-151.30000000000007,nan,nan,linear_capped,2026.04.24
easy,42,active_threat,orchestrator,save_rate,0.5373134328358209,nan,nan,linear_capped,2026.04.24
easy,42,fire,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,fire,floor_agent,normalized_reward,-46.3653143394955,nan,nan,linear_capped,2026.04.24
easy,42,fire,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,fire,floor_agent,raw_reward,-99.86000000000008,nan,nan,linear_capped,2026.04.24
easy,42,fire,floor_agent,save_rate,0.7761194029850746,nan,nan,linear_capped,2026.04.24
easy,42,fire,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,fire,orchestrator,normalized_reward,-59.28772007673332,nan,nan,linear_capped,2026.04.24
easy,42,fire,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,fire,orchestrator,raw_reward,-443.7000000000003,nan,nan,linear_capped,2026.04.24
easy,42,fire,orchestrator,save_rate,0.7761194029850746,nan,nan,linear_capped,2026.04.24
easy,42,flood,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,flood,floor_agent,normalized_reward,1.1491539517295648,nan,nan,linear_capped,2026.04.24
easy,42,flood,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,flood,floor_agent,raw_reward,-7.120000000000002,nan,nan,linear_capped,2026.04.24
easy,42,flood,floor_agent,save_rate,0.07462686567164178,nan,nan,linear_capped,2026.04.24
easy,42,flood,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,flood,orchestrator,normalized_reward,1.417471108468654,nan,nan,linear_capped,2026.04.24
easy,42,flood,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,flood,orchestrator,raw_reward,-39.2,nan,nan,linear_capped,2026.04.24
easy,42,flood,orchestrator,save_rate,0.07462686567164178,nan,nan,linear_capped,2026.04.24
easy,42,gas,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,gas,floor_agent,normalized_reward,-1.2756135508398834,nan,nan,linear_capped,2026.04.24
easy,42,gas,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,gas,floor_agent,raw_reward,-12.16,nan,nan,linear_capped,2026.04.24
easy,42,gas,floor_agent,save_rate,0.16417910447761194,nan,nan,linear_capped,2026.04.24
easy,42,gas,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,gas,orchestrator,normalized_reward,-2.437414246639188,nan,nan,linear_capped,2026.04.24
easy,42,gas,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,gas,orchestrator,raw_reward,-59.599999999999994,nan,nan,linear_capped,2026.04.24
easy,42,gas,orchestrator,save_rate,0.16417910447761194,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,floor_agent,normalized_reward,-6.293106375181074,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,floor_agent,raw_reward,-16.999999999999982,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,floor_agent,save_rate,0.6119402985074627,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,orchestrator,normalized_reward,-9.337395128275025,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,orchestrator,raw_reward,-106.70000000000005,nan,nan,linear_capped,2026.04.24
easy,42,multi_cascade,orchestrator,save_rate,0.6119402985074627,nan,nan,linear_capped,2026.04.24
easy,42,structural,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,structural,floor_agent,normalized_reward,24.295073926717812,nan,nan,linear_capped,2026.04.24
easy,42,structural,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,structural,floor_agent,raw_reward,25.939999999999998,nan,nan,linear_capped,2026.04.24
easy,42,structural,floor_agent,save_rate,0.8656716417910447,nan,nan,linear_capped,2026.04.24
easy,42,structural,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,structural,orchestrator,normalized_reward,27.427273087203776,nan,nan,linear_capped,2026.04.24
easy,42,structural,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,42,structural,orchestrator,raw_reward,37.39999999999998,nan,nan,linear_capped,2026.04.24
easy,42,structural,orchestrator,save_rate,0.8656716417910447,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,floor_agent,normalized_reward,1.7174407968998957,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,floor_agent,raw_reward,-4.639999999999991,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,floor_agent,save_rate,0.6458333333333334,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,orchestrator,normalized_reward,2.611554517603638,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,orchestrator,raw_reward,-63.99999999999997,nan,nan,linear_capped,2026.04.24
easy,123,active_threat,orchestrator,save_rate,0.6458333333333334,nan,nan,linear_capped,2026.04.24
easy,123,fire,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,fire,floor_agent,normalized_reward,1.6554209984229662,nan,nan,linear_capped,2026.04.24
easy,123,fire,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,fire,floor_agent,raw_reward,-0.6199999999999968,nan,nan,linear_capped,2026.04.24
easy,123,fire,floor_agent,save_rate,0.6875,nan,nan,linear_capped,2026.04.24
easy,123,fire,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,fire,orchestrator,normalized_reward,-1.5934071517915358,nan,nan,linear_capped,2026.04.24
easy,123,fire,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,fire,orchestrator,raw_reward,-48.699999999999996,nan,nan,linear_capped,2026.04.24
easy,123,fire,orchestrator,save_rate,0.6875,nan,nan,linear_capped,2026.04.24
easy,123,flood,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,flood,floor_agent,normalized_reward,1.1492241743144735,nan,nan,linear_capped,2026.04.24
easy,123,flood,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,flood,floor_agent,raw_reward,-2.62,nan,nan,linear_capped,2026.04.24
easy,123,flood,floor_agent,save_rate,0.10416666666666667,nan,nan,linear_capped,2026.04.24
easy,123,flood,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,flood,orchestrator,normalized_reward,1.417471108468654,nan,nan,linear_capped,2026.04.24
easy,123,flood,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,flood,orchestrator,raw_reward,-18.8,nan,nan,linear_capped,2026.04.24
easy,123,flood,orchestrator,save_rate,0.10416666666666667,nan,nan,linear_capped,2026.04.24
easy,123,gas,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,gas,floor_agent,normalized_reward,-0.43656131892466155,nan,nan,linear_capped,2026.04.24
easy,123,gas,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,gas,floor_agent,raw_reward,-15.039999999999997,nan,nan,linear_capped,2026.04.24
easy,123,gas,floor_agent,save_rate,0.22916666666666666,nan,nan,linear_capped,2026.04.24
easy,123,gas,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,gas,orchestrator,normalized_reward,-0.7349221261068798,nan,nan,linear_capped,2026.04.24
easy,123,gas,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,gas,orchestrator,raw_reward,-72.60000000000001,nan,nan,linear_capped,2026.04.24
easy,123,gas,orchestrator,save_rate,0.22916666666666666,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,normalized_reward,12.476758865004195,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,raw_reward,10.399999999999997,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,floor_agent,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,normalized_reward,14.203906736089891,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,raw_reward,-8.300000000000008,nan,nan,linear_capped,2026.04.24
easy,123,multi_cascade,orchestrator,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
